ID,Title,Status,Priority,Severity,Assignee,CreatedDate,ResolvedDate,Environment,Category,SLA_Days
1001,ログインできない,未対応,Critical,S1,Alice,2024-06-01,,本番,API,1
1002,検索結果が空になる,対応済,High,S2,Bob,2024-06-02,2024-06-04,本番,API,3
1003,UI崩れ,対応中,Medium,S3,Charlie,2024-06-03,,ステージング,UI,5
1004,データ不整合,対応済,High,S2,Alice,2024-06-04,2024-06-10,本番,DB,3
1005,決済エラー,未対応,Critical,S1,Bob,2024-06-05,,本番,API,1
1006,通知が遅延する,対応済,Low,S4,Charlie,2024-06-06,2024-06-08,開発,インフラ,7
1007,CSV出力失敗,未対応,Medium,S3,Alice,2024-06-07,,本番,API,5
1008,画像表示されない,保留,Low,S4,Bob,2024-06-08,,ステージング,UI,7
1009,パフォーマンス低下,対応済,High,S2,Charlie,2024-06-09,2024-06-15,本番,インフラ,3
1010,認証トークン期限切れ,未対応,Critical,S1,Alice,2024-06-10,,本番,API,1
1011,レポート集計ミス,対応済,Medium,S3,Bob,2024-06-11,2024-06-12,開発,DB,5
1012,画面遷移が遅い,対応中,Medium,S3,Charlie,2024-06-12,,本番,UI,5
1013,ログ保存失敗,未対応,High,S2,Alice,2024-06-13,,本番,インフラ,3
1014,セッション切断,対応済,Low,S4,Bob,2024-06-14,2024-06-14,開発,API,7
1015,ファイルアップロード不可,未対応,High,S2,Charlie,2024-06-15,,本番,API,3
